Brand Name,Shirt Name,Rating,Price,URL,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Wrangler 20X,Printed Men Round Neck Dark Blue T-Shirt,4.1,557,https://www.flipkart.com/wrangler-20x-printed-men-round-neck-dark-blue-t-shirt/p/itm3f15264be2998?pid=TSHFJ5JKGV7BGCQQ&lid=LSTTSHFJ5JKGV7BGCQQTLTHFU&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFJ5JKGV7BGCQQ.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,48,JSW-NAVY,Short Sleeve,Round Neck,Pure Cotton,Slim,1
Wrath,"Color Block Men Round Neck Green, Black T-Shirt",4.1,389,https://www.flipkart.com/wrath-color-block-men-round-neck-green-black-t-shirt/p/itmfgsbjegxfu95q?pid=TSHFGS22F4Z8HMVV&lid=LSTTSHFGS22F4Z8HMVV5TBMDQ&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFGS22F4Z8HMVV.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,10982,Green,Short Sleeve,Round Neck,Pure Cotton,Regular,1
BULLMER,Printed Men Round Neck Multicolor T-Shirt,4.1,698,https://www.flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmd48c7eee46d37?pid=TSHFSBS5AKFMGRYY&lid=LSTTSHFSBS5AKFMGRYYJVNDYY&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSBS5AKFMGRYY.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,587,Multi,Half Sleeve,Round Neck,Pure Cotton,Regular Fit,1
LEWEL,"Color Block Men Hooded Neck White, Blue, Yellow T-Shirt",4,469,https://www.flipkart.com/lewel-color-block-men-hooded-neck-white-blue-yellow-t-shirt/p/itmdeb5477c07276?pid=TSHFGXA992XGBHYR&lid=LSTTSHFGXA992XGBHYRD9FMSU&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSagg2pbR0rLsvBMNgYQAEolb9JAmG1VD7rtpg%2By00nAi%2Bw%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,72054,"Yellow, White, Blue",Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
FastColors,"Solid Men Round Neck White, Blue, Maroon T-Shirt",4,617,https://www.flipkart.com/fastcolors-solid-men-round-neck-white-blue-maroon-t-shirt/p/itm82a1ecc40bb70?pid=TSHFSQMFTFZGB4HT&lid=LSTTSHFSQMFTFZGB4HTI9QKTQ&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSQMFTFZGB4HT.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,25376,Blue Maroon White,Full Sleeve,Round Neck,Pure Cotton,Regular,1
Try This,Color Block Men V-neck Maroon T-Shirt,4,339,https://www.flipkart.com/try-color-block-men-v-neck-maroon-t-shirt/p/itmf922zddbnaswt?pid=TSHF9FZZGGZMTQAC&lid=LSTTSHF9FZZGGZMTQACSQXCDT&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHF9FZZGGZMTQAC.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,8589,Maroon,Full Sleeve,V-neck,Cotton Blend,Regular Fit,1
Allen Solly,Color Block Men Polo Neck Dark Blue T-Shirt,4.5,799,https://www.flipkart.com/allen-solly-color-block-men-polo-neck-dark-blue-t-shirt/p/itm98b61668cc13c?pid=TSHFKN2WHYHHFZ2J&lid=LSTTSHFKN2WHYHHFZ2JBMRQJU&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFKN2WHYHHFZ2J.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,117,Navy,Half Sleeve,Polo Neck,Pure Cotton,Regular Fit,1
FastColors,"Striped Men Round Neck White, Blue T-Shirt",4,360,https://www.flipkart.com/fastcolors-striped-men-round-neck-white-blue-t-shirt/p/itmb29a4b7ebf167?pid=TSHFDNCN5VTZCQZU&lid=LSTTSHFDNCN5VTZCQZUJIBDJR&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFDNCN5VTZCQZU.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,25376,White Blue,Full Sleeve,Round Neck,Pure Cotton,Regular,1
Metronaut,"Printed Men Round Neck White, Black T-Shirt",4.1,499,https://www.flipkart.com/metronaut-printed-men-round-neck-white-black-t-shirt/p/itmfd8fyca7reqyy?pid=TSHFD8FYZ5AKGTWC&lid=LSTTSHFD8FYZ5AKGTWC8B1P5T&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFD8FYZ5AKGTWC.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,934,White,Half Sleeve,Round Neck,Cotton Blend,Regular,1
The EG Store,Color Block Men Round Neck Grey T-Shirt,3.8,319,https://www.flipkart.com/eg-store-color-block-men-round-neck-grey-t-shirt/p/itm0534a077dd6e0?pid=TSHFEJWYH7Y9SAKJ&lid=LSTTSHFEJWYH7Y9SAKJRNUHE3&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSailo0dv5R8u9jYyFU1cyoWQ5pZh0Ig4CxtHQ%2FWAcbEKiA%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,2127,Grey,Short Sleeve,Round Neck,Polycotton,Slim,1
Try This,"Color Block Men Polo Neck Maroon, Blue T-Shirt",3.8,399,https://www.flipkart.com/try-color-block-men-polo-neck-maroon-blue-t-shirt/p/itm8c26104c6156a?pid=TSHFFWKAPUSBUGPB&lid=LSTTSHFFWKAPUSBUGPBEE7CAQ&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFFWKAPUSBUGPB.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,51663,"Maroon, Blue",Full Sleeve,Polo Neck,Cotton Blend,S,1
London Hills,"Solid Men Round Neck Blue, Yellow T-Shirt",4.1,664,https://www.flipkart.com/london-hills-solid-men-round-neck-blue-yellow-t-shirt/p/itmab4ed27c196ac?pid=TSHFSHGC7ZNZCS3K&lid=LSTTSHFSHGC7ZNZCS3K65F3VA&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSHGC7ZNZCS3K.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,106,"Blue, Mustard",Half Sleeve,Round Neck,Pure Cotton,Slim,1
UZEE,"Striped Men Round Neck Black, Yellow T-Shirt",4,284,https://www.flipkart.com/uzee-striped-men-round-neck-black-yellow-t-shirt/p/itmc2fe5968bc42f?pid=TSHFNZUF5CYDKG4D&lid=LSTTSHFNZUF5CYDKG4DYY9GCY&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFNZUF5CYDKG4D.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,2904,MUSTARD,Full Sleeve,Round Neck,Pure Cotton,Regular,1
Tripr,"Solid Men Hooded Neck Dark Blue, Light Blue, Grey T-Shi...",4,649,https://www.flipkart.com/tripr-solid-men-hooded-neck-dark-blue-light-grey-t-shirt/p/itmf9c9acc4c5bf0?pid=TSHFSXGQBHYRQAHA&lid=LSTTSHFSXGQBHYRQAHAAX3M5J&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSahIOn1XlwAdVbDrh67SXzZT6Jv9xBCCthjjR3KoTNdHXQ%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,31622,brand_multicolor4,Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
Try This,Striped Men Polo Neck Multicolor T-Shirt,4,445,https://www.flipkart.com/try-striped-men-polo-neck-multicolor-t-shirt/p/itmd6e7a7e3c5393?pid=TSHFJ6MGFSAHK3SZ&lid=LSTTSHFJ6MGFSAHK3SZ3VJNQ6&marketplace=FLIPKART&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFJ6MGFSAHK3SZ.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,523,Multicolor,Short Sleeve,Polo Neck,Cotton Blend,S,1
Helmont,"Striped Men Hooded Neck Red, Black T-Shirt",4,259,https://www.flipkart.com/helmont-striped-men-hooded-neck-red-black-t-shirt/p/itmfdfvufw3fmuhz?pid=TSHFDFTFFR2QUDWV&lid=LSTTSHFDFTFFR2QUDWVQIYWB1&marketplace=FLIPKART&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFDFTFFR2QUDWV.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,93006,Black,Full Sleeve,Hooded Neck,Cotton Blend,Regular Fit,1
NB NICKY BOY,Printed Men Round Neck Reversible White T-Shirt,4,299,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-reversible-white-t-shirt/p/itmff2seysjunpz2?pid=TSHFF2PKQVUVYTEX&lid=LSTTSHFF2PKQVUVYTEXZFBY8V&marketplace=FLIPKART&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFF2PKQVUVYTEX.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,18295,White,Half Sleeve,Round Neck,Cotton Blend,Slim,1
Metronaut,"Printed Men Round Neck Purple, Black T-Shirt",4.4,399,https://www.flipkart.com/metronaut-printed-men-round-neck-purple-black-t-shirt/p/itm4b34fe79e6947?pid=TSHFNXZGKHUA4NYZ&lid=LSTTSHFNXZGKHUA4NYZWQRVW9&marketplace=FLIPKART&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFNXZGKHUA4NYZ.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,25,Maroon,Short Sleeve,Round Neck,Cotton Blend,Slim,1
Tripr,Solid Men Hooded Neck Black T-Shirt,,341,https://www.flipkart.com/tripr-solid-men-hooded-neck-black-t-shirt/p/itm4b07c0710ef48?pid=TSHFYWSMHXBTKZ6E&lid=LSTTSHFYWSMHXBTKZ6EDX09DW&marketplace=FLIPKART&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFYWSMHXBTKZ6E.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,,Maroon,Short Sleeve,Round Neck,Cotton Blend,Slim,1
Peter England University,Solid Men Henley Neck White T-Shirt,4.5,719,https://www.flipkart.com/peter-england-university-solid-men-henley-neck-white-t-shirt/p/itm9eec9750c8a21?pid=TSHFKYBUZQ7WJGHP&lid=LSTTSHFKYBUZQ7WJGHPR3NVM6&marketplace=FLIPKART&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSajJDxRJnIwJBXMiBnCr4dc8RkCzMhpBbH75a307msQspA%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,14,white,Short Sleeve,Henley Neck,Polycotton,Regular,1
UZEE,Solid Men Round or Crew Black T-Shirt,3.9,299,https://www.flipkart.com/uzee-solid-men-round-crew-black-t-shirt/p/itmf3ymbgzhuvkfh?pid=TSHEVBQVDGPCATCU&lid=LSTTSHEVBQVDGPCATCULZGZ1H&marketplace=FLIPKART&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHEVBQVDGPCATCU.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,21214,Black,Full Sleeve,Round or Crew,Cotton Blend,regular,1
Kay Dee,Typography Men Hooded Neck Red T-Shirt,4,284,https://www.flipkart.com/kay-dee-typography-men-hooded-neck-red-t-shirt/p/itm3cc4697af4709?pid=TSHFJV5HEBPTUCUU&lid=LSTTSHFJV5HEBPTUCUURPLKVQ&marketplace=FLIPKART&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFJV5HEBPTUCUU.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,17668,Red,Full Sleeve,Hooded Neck,Cotton Blend,Slim Fit,1
BULLMER,Printed Men Round Neck Multicolor T-Shirt,4.1,698,https://www.flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmf10574f89e8f6?pid=TSHFSBS5ZDXC3HYG&lid=LSTTSHFSBS5ZDXC3HYGHQ2YYY&marketplace=FLIPKART&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSBS5ZDXC3HYG.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,611,Multi,Short Sleeve,Round Neck,Pure Cotton,Regular Fit,1
THE EG STORE,Color Block Men Round Neck Red T-Shirt,3.7,299,https://www.flipkart.com/eg-store-color-block-men-round-neck-red-t-shirt/p/itmf5cdaff36e6f1?pid=TSHFGSYMPW3WGMGZ&lid=LSTTSHFGSYMPW3WGMGZI83QXE&marketplace=FLIPKART&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSag1bYJHFf9AADKSh0Lpede52fa2LVrgm5EN95EgJUwM%2FA%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,166,Red,Half Sleeve,Round Neck,Polycotton,THE EG STORE,1
BULLMER,Printed Men Round Neck Multicolor T-Shirt,4,698,https://www.flipkart.com/bullmer-printed-men-round-neck-multicolor-t-shirt/p/itmbfd40830ff600?pid=TSHFSBS5YZYHGDHB&lid=LSTTSHFSBS5YZYHGDHBMLZB8Y&marketplace=FLIPKART&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSBS5YZYHGDHB.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,534,Multi,Half Sleeve,Round Neck,Pure Cotton,Regular Fit,1
U.S. Polo Assn,Solid Men Polo Neck Yellow T-Shirt,,1049,https://www.flipkart.com/u-s-polo-assn-solid-men-neck-yellow-t-shirt/p/itmf8fk5byqsr5ts?pid=TSHF8FJRVZFDBHZC&lid=LSTTSHF8FJRVZFDBHZCZN0YUY&marketplace=FLIPKART&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHF8FJRVZFDBHZC.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,,Multi,Half Sleeve,Round Neck,Pure Cotton,Regular Fit,1
London Hills,"Solid Men Round Neck Green, Black T-Shirt",4.1,664,https://www.flipkart.com/london-hills-solid-men-round-neck-green-black-t-shirt/p/itmd91cb2bae7839?pid=TSHFKA9HBJZFSCG5&lid=LSTTSHFKA9HBJZFSCG5FNCBHS&marketplace=FLIPKART&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFKA9HBJZFSCG5.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,6127,"Black, Olive",Short Sleeve,Round Neck,Pure Cotton,Slim Fit,1
Tripr,"Printed Men Hooded Neck Red, White T-Shirt",3.9,616,https://www.flipkart.com/tripr-printed-men-hooded-neck-red-white-t-shirt/p/itmbc03bab7ed26c?pid=TSHFSH7Q5VTCHBP9&lid=LSTTSHFSH7Q5VTCHBP9XPKA2J&marketplace=FLIPKART&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFSH7Q5VTCHBP9.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,11395,brand_multicolor4,Full Sleeve,Hooded Neck,Cotton Blend,Regular,1
SCATCHITE,Solid Men Round Neck Grey T-Shirt,3.5,269,https://www.flipkart.com/scatchite-solid-men-round-neck-grey-t-shirt/p/itmfey6aa6gahnkz?pid=TSHFEY3BZJTF2GKK&lid=LSTTSHFEY3BZJTF2GKKSDKQSO&marketplace=FLIPKART&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=1898245a-53e4-41d8-9337-f137e4083cc3.TSHFEY3BZJTF2GKK.SEARCH&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,900,Grey,Half Sleeve,Round Neck,Cotton Blend,Slim,1
FLEXIMAA,Printed Men Round or Crew Blue T-Shirt,3.9,379,https://www.flipkart.com/fleximaa-printed-men-round-crew-blue-t-shirt/p/itmf3ytaytw9nsjz?pid=TSHEYK2EZHYXBRV5&lid=LSTTSHEYK2EZHYXBRV5ORZST3&marketplace=FLIPKART&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=en_8SNsn%2FJTY0enwLk6%2BQX1gdCKTGbudv5APZDakGOjSaj%2Fp95bY313xQ3ABY2zjwlJH8RA9HdAu%2BJGI1tlHeUvKg%3D%3D&ssid=aw8h3totao0000001594639111900&qH=314c11a226d7cd83,2142,Navy Blue,Full Sleeve,Round or Crew,Cotton Blend,Regular,1
Try This,"Color Block Men Round or Crew White, Blue T-Shirt",4,359,https://www.flipkart.com/try-color-block-men-round-crew-white-blue-t-shirt/p/itmf8u8tcgvxtesv?pid=TSHF8TZE44SVHWTF&lid=LSTTSHF8TZE44SVHWTFK76POD&marketplace=FLIPKART&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=86203c1d-6a47-4a66-b068-4f865dcfb9e7.TSHF8TZE44SVHWTF.SEARCH&ssid=qznw3q59ao0000001594639145530&qH=314c11a226d7cd83,9041,"White, Blue",Full Sleeve,Round or Crew,Cotton Blend,S,2
LIFEIDEA,"Solid Men Hooded Neck Red, Black T-Shirt",4.1,284,https://www.flipkart.com/lifeidea-solid-men-hooded-neck-red-black-t-shirt/p/itmfdj9xzftzh5rq?pid=TSHF8VZMFYH8HUXN&lid=LSTTSHF8VZMFYH8HUXN1FOEDA&marketplace=FLIPKART&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=86203c1d-6a47-4a66-b068-4f865dcfb9e7.TSHF8VZMFYH8HUXN.SEARCH&ssid=qznw3q59ao0000001594639145530&qH=314c11a226d7cd83,5302,BLACK,Sleeveless,Hooded Neck,Pure Cotton,Regular,2
UZEE,Striped Men Round Neck Maroon T-Shirt,4,284,https://www.flipkart.com/uzee-striped-men-round-neck-maroon-t-shirt/p/itma254f1971b0be?pid=TSHFNZUFCDFTHQ9V&lid=LSTTSHFNZUFCDFTHQ9VT3N7MV&marketplace=FLIPKART&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=86203c1d-6a47-4a66-b068-4f865dcfb9e7.TSHFNZUFCDFTHQ9V.SEARCH&ssid=qznw3q59ao0000001594639145530&qH=314c11a226d7cd83,2904,NAVY MEHROON,Full Sleeve,Round Neck,Pure Cotton,Regular,2
The EG Store,Color Block Men Round Neck Red T-Shirt,3.8,328,https://www.flipkart.com/eg-store-color-block-men-round-neck-red-t-shirt/p/itma955b401c2425?pid=TSHFGXTNP9YNGNVC&lid=LSTTSHFGXTNP9YNGNVCH2ADBO&marketplace=FLIPKART&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=en_GlZxtjWLdg5hX1CKu87jGpP7yZi6xEY3JNN18Ei%2FWxaPx9dWxpryWQBGpRlrTwW2md9YHhnRXdeTppJzUR69MQ%3D%3D&ssid=qznw3q59ao0000001594639145530&qH=314c11a226d7cd83,14194,Red,Full Sleeve,Round Neck,Polycotton,Slim,2
Smartees,"Typography Men Round Neck Maroon, Black T-Shirt",3.8,349,https://www.flipkart.com/smartees-typography-men-round-neck-maroon-black-t-shirt/p/itm87a1dced2379f?pid=TSHFPHQBQPU9VBJD&lid=LSTTSHFPHQBQPU9VBJDF1BEYG&marketplace=FLIPKART&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=86203c1d-6a47-4a66-b068-4f865dcfb9e7.TSHFPHQBQPU9VBJD.SEARCH&ssid=qznw3q59ao0000001594639145530&qH=314c11a226d7cd83,387,Maroon & Black,Full Sleeve,Round Neck,Cotton Blend,Slim Fit,2
